,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
0,1,5,GER,2204,,,"Köhler,Gerhard,Dr.",0,,bye,,,0,-1
1,2,1,USA,2336,,FM,"Jhunjhnuwala,Krishan",½ - ½,FM,"Deuer,Marius",,GER,2218,4
2,3,2,LUX,2323,,IM,"Berend,Fred",1 - 0,IM,"Biro,Sandor",,ROU,2238,3
3,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
4,1,2,LUX,2323,,IM,"Berend,Fred",0,,bye,,,0,-1
5,2,3,ROU,2238,,IM,"Biro,Sandor",0 - 1,FM,"Jhunjhnuwala,Krishan",,USA,2336,1
6,3,4,GER,2218,,FM,"Deuer,Marius",½ - ½,,"Köhler,Gerhard,Dr.",,GER,2204,5
7,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
8,1,4,GER,2218,,FM,"Deuer,Marius",0,,bye,,,0,-1
9,2,5,GER,2204,,,"Köhler,Gerhard,Dr.",1 - 0,IM,"Biro,Sandor",,ROU,2238,3
10,3,1,USA,2336,,FM,"Jhunjhnuwala,Krishan",1 - 0,IM,"Berend,Fred",,LUX,2323,2
11,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
12,1,1,USA,2336,,FM,"Jhunjhnuwala,Krishan",0,,bye,,,0,-1
13,2,2,LUX,2323,,IM,"Berend,Fred",1 - 0,,"Köhler,Gerhard,Dr.",,GER,2204,5
14,3,3,ROU,2238,,IM,"Biro,Sandor",½ - ½,FM,"Deuer,Marius",,GER,2218,4
15,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
16,1,3,ROU,2238,,IM,"Biro,Sandor",0,,bye,,,0,-1
17,2,4,GER,2218,,FM,"Deuer,Marius",0 - 1,IM,"Berend,Fred",,LUX,2323,2
18,3,5,GER,2204,,,"Köhler,Gerhard,Dr.",0 - 1,FM,"Jhunjhnuwala,Krishan",,USA,2336,1
19,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
20,1,1,USA,2336,,FM,"Jhunjhnuwala,Krishan",0,,bye,,,0,-1
21,2,5,GER,2204,,,"Köhler,Gerhard,Dr.",0 - 1,IM,"Berend,Fred",,LUX,2323,2
22,3,4,GER,2218,,FM,"Deuer,Marius",1 - 0,IM,"Biro,Sandor",,ROU,2238,3
23,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
24,1,5,GER,2204,,,"Köhler,Gerhard,Dr.",0,,bye,,,0,-1
25,2,4,GER,2218,,FM,"Deuer,Marius",1 - 0,FM,"Jhunjhnuwala,Krishan",,USA,2336,1
26,3,3,ROU,2238,,IM,"Biro,Sandor",1 - 0,IM,"Berend,Fred",,LUX,2323,2
27,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
28,1,2,LUX,2323,,IM,"Berend,Fred",0,,bye,,,0,-1
29,2,1,USA,2336,,FM,"Jhunjhnuwala,Krishan",1 - 0,IM,"Biro,Sandor",,ROU,2238,3
30,3,5,GER,2204,,,"Köhler,Gerhard,Dr.",½ - ½,FM,"Deuer,Marius",,GER,2218,4
31,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
32,1,4,GER,2218,,FM,"Deuer,Marius",0,,bye,,,0,-1
33,2,3,ROU,2238,,IM,"Biro,Sandor",½ - ½,,"Köhler,Gerhard,Dr.",,GER,2204,5
34,3,2,LUX,2323,,IM,"Berend,Fred",1 - 0,FM,"Jhunjhnuwala,Krishan",,USA,2336,1
35,Bo.,No.,FED,Rtg, ,,Name,Result,,Name, ,FED,Rtg,No.
36,1,3,ROU,2238,,IM,"Biro,Sandor",0,,bye,,,0,-1
37,2,2,LUX,2323,,IM,"Berend,Fred",1 - 0,FM,"Deuer,Marius",,GER,2218,4
38,3,1,USA,2336,,FM,"Jhunjhnuwala,Krishan",1 - 0,,"Köhler,Gerhard,Dr.",,GER,2204,5
