,Bo.,No.,,Name,Pts.,Result,Pts.,,Name,No.
0,1,1,,"Rewerts,Ingo",0,½ - ½,0,,"Bauer,Dieter",25
1,2,26,,"Becker,Ralph",0,½ - ½,0,,"Theuer,Carsten",2
2,3,3,,"Pauthner,Franz",0,1 - 0,0,,"Offergeld,Detlef",27
3,4,28,,"Ahrens,Gunnar",0,1 - 0,0,,"Piotrowski,Roger",4
4,5,5,,"Beck,Andreas",0,½ - ½,0,,"Bekkesletten,Cato",29
5,6,30,,"Schilling,Hans",0,1 - 0,0,,"Romanelli,Robert",6
6,7,7,,"Winter,Kevin",0,+ - -,0,,"Schmitz,Paul",31
7,8,32,,"Engau,Fritz",0,1 - 0,0,,"Hartges,Michael",8
8,9,9,,"Haag,Rolf",0,1 - 0,0,,"Pape,Michael",33
9,10,34,,"Catalano,Enzo",0,0 - 1,0,,"Vollmer,Andreas",10
10,11,11,,"Krisin,Joachim",0,1 - 0,0,,"Hirn,Thomas",35
11,12,36,,"Mencke,Hans-Jürgen",0,1 - 0,0,,"Brunschwyler, André",12
12,13,13,,"Dumont,Vincent",0,1 - 0,0,,"Gerlach,Andreas,Dr.",37
13,14,38,,"Fritzsche,Jürgen,Dr.",0,0 - 1,0,,"Pantillon,Patrick Andre",14
14,15,15,,"Röhrig,Uwe",0,0 - 1,0,,"Britschgi,Carmen",39
15,16,40,,"Paetzel,Hans",0,½ - ½,0,,"Borries,Barbara",16
16,17,17,,"Weverling,Ferry",0,1 - 0,0,,"Steiger,Peter",41
17,18,42,,"Gilbert,David J",0,½ - ½,0,,"Scharler,Walter",18
18,19,19,,"Kerr,Grant",0,1 - 0,0,,"Loeffler,Helmut",43
19,20,44,,"Nadler,Bernhard",0,½ - ½,0,,"De Witte,Wiebe",20
20,21,21,,"Bernard,Christopher",0,½ - ½,0,,"Weimann,Jörg",45
21,22,46,,"Krause,Helmut",0,½ - ½,0,,"Ring,Rudolf",22
22,23,23,,"Klaiber,Georg",0,1 - 0,0,,"Hahn,Georg",47
23,24,48,,"Magnusson,Gisli",0,1 - 0,0,,"Stronk,Klaus",24
