,Bo.,No.,,Name,Pts.,Result,Pts.,,Name,No.
0,1,1,,"Maheux,Pierre",0,1 - 0,0,,"Schumann,Wolfgang",13
1,2,14,,"Auer,Max",0,0 - 1,0,,"Freier,Bernd",2
2,3,3,,"Externbrink,Uwe",0,½ - ½,0,,"Wagener,Martin",15
3,4,16,,"Hebenstreit,Heinz",0,1 - 0,0,,"Krause,Marianne",4
4,5,5,,"Frischknecht,Ralf",0,½ - ½,0,,"Peach,Clifford",17
5,6,18,,"Hüttinger,Siegfried",0,½ - ½,0,,"Friden,Jan",6
6,7,7,,"Potschies,Jürgen",0,1 - 0,0,,"Kunze,Manfred",19
7,8,20,,"Erwich,Ankie",0,0 - 1,0,,"Marocsik,Ferenc",8
8,9,9,,"Mulder,Ben",0,1 - 0,0,,"Obmann,Thomas",21
9,10,22,,"Wilske,Guido",0,0 - 1,0,,"Madden,Jason",10
10,11,11,,"Baumgarten,Otto",0,1 - 0,0,,"Leferink,Toine",23
11,12,24,,"Heid,Magdalene",0,½ - ½,0,,"Proudfoot,Andy",12
