,Bo.,No., ,,Name,FED,Rtg,Pts.,Result,Pts.,,Name,FED,Rtg, ,No.
0,1,1,,FM,Rahman Syed Mahfuzur,BAN,2092,0,1 - 0,0,,Moniruzzaman Moni,BAN,1764,,21
1,2,22,,,Mohammad Shafiqul Islam,BAN,1755,0,1 - 0,0,,Jabed Al Azad,BAN,2055,,2
2,3,3,,,Md.Abu Hanif,BAN,2044,0,0 - 1,0,,Chowdhury Amdadul Kabir,BAN,1751,,23
3,4,24,,,Prosenjit Sarkar,BAN,1749,0,0 - 1,0,,Md. Masum Hossain,BAN,1988,,4
4,5,5,,AFM,Choubey Saurabh,IND,1985,0,½ - ½,0,AIM,Abhay Bandewar,IND,1722,,25
5,6,26,,,Chowdhury Shamsul Kabir,BAN,1692,0,0 - 1,0,,Ahmed Feroz,BAN,1907,,6
6,7,7,,,Md Azmaeen Parvez Sayor,BAN,1900,0,1 - 0,0,,Osman Goni,BAN,1645,,27
7,8,28,,,Md. Monir Hossain Monir,BAN,1642,0,0 - 1,0,,Md Nasir Uddin,BAN,1865,,8
8,9,9,,,Hasan Sk. Rashedul,BAN,1864,0,½ - ½,0,,Md Ekramuzzaman,BAN,1629,,29
9,10,30,,,Shankhodip De,IND,1558,0,+ - -,0,,Habibur Rahman Sohel,BAN,1854,,10
10,11,11,,,Islam Rezaul Babu,BAN,1845,0,1 - 0,0,,Md Abu Said,BAN,1546,,31
11,12,32,,,Md Rayhan,BAN,1442,0,0 - 1,0,,Ibrahim Parvej,BAN,1843,,12
12,13,13,,,Mohammad Din,BAN,1837,0,1 - 0,0,,Chowdhury Shajjad Hossain,BAN,1335,,33
13,14,34,,,Fakruddin Khan,BAN,1328,0,0 - 1,0,,Md. Nasim Hossain Bhuiyan,BAN,1830,,14
14,15,16,,,Neloy Debnath,BAN,1809,0,1 - 0,0,,Mohammad Minul Hoque Riyad,BAN,1320,,35
15,16,36,,,Md Lutfar Rahman,BAN,1306,0,0 - 1,0,,Dil Mohammed,BAN,1788,,17
16,17,18,,,Abdullah Al Raison,BAN,1787,0,- - +,0,,Shimon Ahmed,BAN,1155,,37
17,18,38,,,Mahfuz Chowdhury,BAN,0,0,1 - 0,0,,Tahmidul Haque,BAN,1770,,19
18,19,20,,,Bappi A.B.,BAN,1769,0,1 - 0,0,,Md Masud Rana,BAN,0,,39
