,Bo.,No.,,Name,Pts.,Result,Pts.,,Name,No.
0,1,1,,"Borchert,Andreas",0,1 - 0,0,,"Flohr,Ron",26
1,2,27,,"Ritter,Uwe",0,1 - 0,0,,"Thelen,Armin",2
2,3,3,,"Mittendorfer,Josef",0,1 - 0,0,,"Erwich,Frans",28
3,4,29,,"Burer,Audry",0,½ - ½,0,,"Brehme,Ralf-Peter",4
4,5,5,,"Tiede,Andreas",0,1 - 0,0,,"Morgenstern,Martin,Dr.",30
5,6,31,,"Sobotnik,Petr",0,1 - 0,0,,"Stollberg,Michael",6
6,7,7,,"Boyens,Birger",0,1 - 0,0,,"Hälsig,Günter,Dr.",32
7,8,33,,"Flohr,Dennis",0,1 - 0,0,,"Warsitz,Hubert,Dr.",8
8,9,9,,"Hehn,Hartmut",0,0 - 1,0,,"Ridge,Michael",34
9,10,35,,"Burer,Humphrey",0,0 - 1,0,,"Schäfer,Martin",10
10,11,11,,"Huber,Guenther",0,1 - 0,0,,"Tabin,Rene",36
11,12,37,,"Harstad,Christian",0,1 - 0,0,,"Unger,Franz",12
12,13,13,,"Oelmann,Henry",0,0 - 1,0,,"Hilbenz,Guntram,Dr.",38
13,14,39,,"Spinhoven,John",0,1 - 0,0,,"Hansel,Rainer",14
14,15,15,,"Wood,Peter R",0,½ - ½,0,,"Bajec,Tomaz",40
15,16,41,,"Synnestvedt,Jan",0,½ - ½,0,,"Schulte,Stefan",16
16,17,17,,"Fortagne,Andre",0,1 - 0,0,,"Moje,Hans-Juergen",43
17,18,42,,"Schreyer,Klaus",0,0 - 1,0,,"Heid,Michael",18
18,19,19,,"Van de Wynkele,Rudy",0,1 - 0,0,,"Nussbaumer,Josef",44
19,20,45,,"Oppermann,Peter",0,0 - 1,0,,"Geyler,Stefan,Dr.",20
20,21,21,,"Frühauf,Norbert",0,1 - 0,0,,"Szentmihalyi,Tamas",46
21,22,47,,"Meurer,Alexander",0,½ - ½,0,,"Ludin, Hubert",22
22,23,23,,"Polanyi,Peter",0,½ - ½,0,,"Aigner,Georg",48
23,24,49,,"Stehle,Ottmar",0,0 - 1,0,,"Flohr,Marcel",24
24,25,25,,"Zimmermann,Curt",0,0 - 1,0,,"Frisk,Anders",50
