,Bo.,No., ,,Name,Rtg,Pts.,Result,Pts.,,Name,Rtg, ,No.,PGN
0,1,38,,,Gibbs Dominic V,1845,0,1 - 0,0,,Hurtado Bahamonde Matias,1990,,1,PGN
1,2,2,,,Ghita Vlad-Bogdan,1985,0,0 - 1,0,,Ng Chun Hei,1814,,39,PGN
2,3,40,,,Vallianos Gerasimos,1814,0,0 - 1,0,,Quijada Carvajal Leonardo Gustavo,1984,,3,PGN
3,4,4,,WCM,Medeiros Thauane Ferreira,1979,0,1 - 0,0,,Hrisafis Argirios,1812,,41,PGN
4,5,42,,,Zielinski Olgierd,1808,0,1 - 0,0,,Klein Raimund,1978,,5,PGN
5,6,6,,,Lozovoi Roman,1974,0,0 - 1,0,,Ainakul Mukhtar,1806,,43,PGN
6,7,44,,,Forsa Elise,1806,0,0 - 1,0,,Alashtar Aasef,1969,,7,PGN
7,8,8,,,Messala Jamal,1965,0,0 - 1,0,,Baete Guy,1805,,45,PGN
8,9,46,,CM,Sodbilegt Naranbold,1790,0,1 - 0,0,,Montiel Angel Nathanael,1963,,9,PGN
9,10,10,,,Cuesta Cifuentes Jair Alfonso,1962,0,1 - 0,0,,Coy Rupert,1780,,47,PGN
10,11,48,,,Djokic Dusan,1780,0,1 - 0,0,,Selva Salvador Antonio,1961,,11,PGN
11,12,12,,,Saber Anas,1957,0,½ - ½,0,AFM,Hipler Andreas Dr.,1774,,49,PGN
12,13,50,,,Hrebicek Petr,1771,0,0 - 1,0,,Celik Berkay,1954,,13,PGN
13,14,14,,,Oelmann Henry,1954,0,1 - 0,0,,Tardi Oscar,1766,,51,PGN
14,15,52,,CM,Sharma Pankaj,1764,0,0 - 1,0,,Navarro Rico Lluis,1953,,15,
15,16,16,,,Brixel Christof Dr.,1950,0,1 - 0,0,,Casas Ospina Favio,1757,,53,
16,17,54,,,Grenier Jean-Luc,1753,0,0 - 1,0,,Stoychev Ognian,1949,,17,
17,18,18,,FM,Iclicki Willy,1947,0,½ - ½,0,,Simas Breno Matos,1749,,55,
18,19,56,,,Saliba Luke,1738,0,1 - 0,0,CM,Flis Pawel,1936,,19,
19,20,20,,,Cafolla Peter,1932,0,1 - 0,0,,Niemann Leon,1736,,57,
20,21,58,,,Ghitza Elena,1733,0,0 - 1,0,,Baliuniene Margarita,1927,,21,
21,22,22,,,Davis Lee,1922,0,1 - 0,0,,Psaila Mario,1720,,59,
22,23,60,,,Krysztopa-Czuprynska Barbara,1716,0,0 - 1,0,,Holliman Bob,1922,,23,
23,24,24,,,Baisynov Islambek,1914,0,0 - 1,0,,Naguleswaran Annorjan,1716,,61,
24,25,62,,,Nayberg Simona,1715,0,½ - ½,0,,Roch Florian,1910,,25,
25,26,26,,,Steincamp Isaac,1910,0,1 - 0,0,,Pfaltz Maximilian,1712,,63,
26,27,64,,,Bedoya Ramos Andrea,1699,0,0 - 1,0,WCM,Andrzejewska Anna,1889,,27,
27,28,28,,,Erdogan Hassan,1889,0,½ - ½,0,,Zrikem Waad,1698,,65,
28,29,66,,,Caruana George,1696,0,0 - 1,0,,Builes Palacio Santiago,1882,,29,
29,30,30,,,Adewole Adeyinka Samuel,1881,0,1 - 0,0,,Montiel Caceres Helen,1695,,67,
30,31,68,,,Richards John,1690,0,0 - 1,0,,Donoso Simonetti Alvaro Matias,1879,,31,
31,32,32,,WCM,Tarnowska Aleksandra,1876,0,1 - 0,0,,Serrato Rafael Antonio,1690,,69,
32,33,70,,,Baker John,1686,0,0 - 1,0,,Hurtado Oldridge Felipe,1874,,33,
33,34,34,,,Peter Anand A,1872,0,1 - 0,0,,Mantikos Konstantinos,1661,,71,
34,35,72,,,De Lisa Carmine,1658,0,0 - 1,0,CM,Lopez Ramirez Jorge Hernan,1866,,35,
35,36,36,,,Jenidarchiche Douglas Rodrigo,1863,0,1 - 0,0,,Novikovas Anatolijus,1658,,73,
36,37,74,,,Haouari Amor,1642,0,0 - 1,0,,Rudecki Bartosz,1846,,37,
