,Bo.,No., ,,Name,FED,Rtg,Pts.,Result,Pts.,,Name,FED,Rtg, ,No.
0,1,1,,,"Meurer,Alexander",GER,1794,0,1 - 0,0,,"Kaesemann,Holger,Dr.",GER,1690,,14
1,2,15,,,"Gnädinger, Doris",SUI,1690,0,0 - 1,0,,"Wallner,Michael",SUI,1792,,2
2,3,3,,,"Spagnoli,Benjamin",FRA,1783,0,1 - 0,0,,"Britschgi, Carmen",SUI,1682,,16
3,4,17,,,"Engau,Fritz",GER,1670,0,½ - ½,0,,"Solaroli,Riccardo",ITA,1782,,4
4,5,5,,,"Wiser,Hans-Rudolf",SUI,1768,0,1 - 0,0,,"Russ,Oliver",GER,1656,,18
5,6,19,,,"Bauer,Matthias",GER,1655,0,0 - 1,0,,"Bach,Oliver",GER,1765,,6
6,7,8,,,"Röhrig,Uwe",GER,1757,0,0 - 1,0,,"Lorch,Stephan",GER,1645,,20
7,8,21,,,"Petzelberger,Sebastian",GER,1639,0,1 - 0,0,,"Stronk,Klaus",GER,1726,,9
8,9,10,,,"Plitzner,Hans Joachim",GER,1720,0,0 - 1,0,,"Krause,Helmut",GER,1627,,22
9,10,23,,,"Koch,Jürgen",GER,1622,0,0 - 1,0,,"Held,Momme Fredrik",GER,1710,,11
10,11,12,,,"Bauer,Dieter",GER,1695,0,1 - 0,0,,"Gilbert,David J",ENG,1615,,24
11,12,25,,,"Wagner,Julia",GER,1607,0,0 - 1,0,,"Faber,Simon",GER,1691,,13
